state,primary-boys,primary-girls,primary-total,lower-secondary-boys,lower-secondary-girls,lower-secondary-total,upper-secondary-boys,upper-secondary-girls,upper-secondary-total,college-boys,college-girls,college-total
Andhra Pradesh,94.8,90.9,92.9,80.0,79.4,79.7,45.4,48.5,46.8,35.8,29.0,32.4
Arunachal Pradesh,99.9,102.7,101.6,67.9,70.3,69.1,38.0,39.0,38.5,29.9,29.5,29.7
Assam,101.9,107.2,104.5,67.1,78.7,72.8,31.0,30.9,30.9,19.1,18.3,18.7
Bihar,85.3,90.0,87.6,54.8,60.8,57.7,26.4,26.3,26.4,15.1,12.0,13.6
Chhattisgarh,96.4,96.1,96.3,81.7,91.7,86.6,48.6,55.7,52.1,18.1,19.2,18.6
Gujarat,93.9,95.0,94.4,81.8,69.5,76.1,42.0,40.3,41.2,22.0,18.7,20.4
Haryana,102.0,101.2,101.7,95.6,91.7,93.9,56.1,55.9,56.1,26.5,32.4,29.2
Himachal Pradesh,102.8,104.4,103.6,105.7,106.2,105.9,79.5,84.4,81.8,34.7,44.9,39.6
Jammu & Kashmir,76.3,79.7,77.9,58.2,58.1,58.1,42.4,42.0,42.3,29.6,32.2,30.9
Jharkhand,96.1,96.6,96.4,59.0,62.8,60.9,38.4,39.3,38.9,19.5,18.7,19.1
Karnataka,105.5,103.5,104.5,84.5,82.8,83.7,40.3,48.7,44.4,28.2,29.4,28.8
Kerala,98.0,97.7,97.8,98.5,97.5,98.0,75.9,84.9,80.3,30.8,43.2,37.0
Madhya Pradesh,92.9,91.1,92.1,80.0,74.6,77.4,44.7,42.7,43.7,21.8,21.2,21.5
Maharashtra,102.8,102.2,102.5,92.5,89.6,91.1,70.6,67.1,68.9,33.5,30.3,32.0
Manipur,111.1,113.7,112.1,68.9,71.7,69.7,56.6,53.0,54.8,33.6,33.8,33.7
Meghalaya,131.2,138.9,135.0,72.3,87.0,79.5,37.6,45.8,41.6,23.8,27.7,25.8
Mizoram,120.2,119.4,120.5,90.5,92.7,93.6,48.8,55.1,51.9,26.5,24.8,25.7
Nagaland,80.1,83.4,82.1,55.2,61.7,58.3,32.8,35.8,33.9,17.8,19.7,18.7
Odisha,94.8,93.0,93.9,81.0,80.4,80.7,62.2,69.6,65.9,24.2,20.0,22.1
Punjab,104.4,104.8,104.6,93.0,93.4,93.2,67.6,68.8,68.1,25.5,34.3,29.5
Rajasthan,99.2,96.8,98.1,86.2,76.5,81.6,61.3,51.2,56.5,23.1,23.0,23.0
Sikkim,97.1,92.6,93.8,96.0,106.4,101.2,51.8,64.7,58.2,54.0,53.9,53.9
Tamil Nadu,98.5,98.0,98.3,90.0,91.0,90.5,65.0,80.1,72.3,49.8,48.3,49.0
Telangana,102.6,102.3,102.4,83.7,85.9,84.8,52.6,60.7,56.5,35.8,36.5,36.2
Tripura,103.9,106.5,105.4,86.7,94.0,90.2,38.2,39.1,38.6,21.1,17.4,19.2
Uttar Pradesh,89.7,93.7,91.6,67.3,63.2,65.4,47.0,45.1,46.1,24.2,27.5,25.8
Uttarakhand,105.6,107.2,106.4,88.0,90.0,88.9,63.5,69.5,66.2,39.2,39.1,39.1
West Bengal,97.8,100.8,99.3,72.4,91.1,81.5,47.2,56.6,51.7,20.0,18.7,19.3
Andaman and Nicobar Islands,79.2,84.1,81.5,66.3,73.8,74.2,48.6,58.2,56.4,20.3,26.1,23.2
Chandigarh,90.3,98.5,93.9,86.6,101.7,93.0,81.5,90.3,83.4,41.6,63.9,50.6
D & N Haveli,92.6,96.1,92.8,90.7,90.1,90.4,46.8,62.4,53.5,7.4,12.6,9.3
Daman & Diu,87.5,85.8,89.3,66.1,75.3,79.0,25.6,46.6,33.2,4.2,9.8,5.5
Delhi,118.4,122.2,120.2,107.7,113.7,110.4,66.9,73.9,70.1,43.2,50.0,46.3
Goa,96.6,99.4,97.9,90.6,91.3,92.6,67.1,77.4,72.0,26.4,35.0,30.1
Lakshadweep,73.5,73.4,73.5,107.9,104.3,70.7,108.7,55.9,73.5,3.4,11.6,7.4
Puducherry,84.6,87.4,85.9,81.4,85.1,83.2,62.1,78.4,69.8,41.7,51.6,46.4
India,95.5,96.7,96.1,76.9,76.9,76.9,49.5,50.8,50.1,26.3,26.4,26.3
